"zone";"feuille";"station";"lon";"lat";"pluie_originale";"pluie_mm"
"ZONE SUD-OUEST";"Sud-Ouest";"BOUNKILING";-15,7;13,04;"1.3999999999999999";1,4
"ZONE SUD-OUEST";"Sud-Ouest";"VELINGARA-CASA";-14,1;13,15;"0.40000000000000002";0,4
"ZONE SUD-OUEST";"Sud-Ouest";"BAMBALY";-15,66;12,61;"0";0
"ZONE SUD-OUEST";"Sud-Ouest";"BOGHAL";-15,58;13,24;"0";0
"ZONE SUD-OUEST";"Sud-Ouest";"BONCONTO";-13,93;13,02;"0";0
"ZONE SUD-OUEST";"Sud-Ouest";"BOUROUCO";-15,23;13,27;"0";0
"ZONE SUD-OUEST";"Sud-Ouest";"DIALADIAN";-13,74;12,7;"0";0
"ZONE SUD-OUEST";"Sud-Ouest";"DIAROUME";-15,62;12,98;"0";0
"ZONE SUD-OUEST";"Sud-Ouest";"DIEMBERING";-16,77;12,47;"0";0
"ZONE SUD-OUEST";"Sud-Ouest";"KOLIBANTANG";-15,21;12,8;"0";0
"ZONE SUD-OUEST";"Sud-Ouest";"KOULINTO";-14,81;13,03;"0";0
"ZONE SUD-OUEST";"Sud-Ouest";"LINKERING";-13,74;12,95;"0";0
"ZONE SUD-OUEST";"Sud-Ouest";"MACOUDA";-16,67;13,14;"0";0
"ZONE SUD-OUEST";"Sud-Ouest";"MEDINA-GOUNASS";-13,8;13,1;"0";0
"ZONE SUD-OUEST";"Sud-Ouest";"OUASSADOU";-14,15;12,74;"0";0
"ZONE SUD-OUEST";"Sud-Ouest";"PAKOUR";-13,96;12,8;"0";0
"ZONE SUD-OUEST";"Sud-Ouest";"SALIKEGNE";-14,74;12,69;"0";0
"ZONE SUD-OUEST";"Sud-Ouest";"SARE-COLI-SALLE";-14,1;13,1;"0";0
"ZONE SUD-OUEST";"Sud-Ouest";"TANAFF";-15,43;12,65;"0";0
"ZONE SUD-EST";"Sud-Est";"NETTEBOULOU";-13,78;13,58;"TR";0,1
"ZONE SUD-EST";"Sud-Est";"KOTHIARY-NAOUNDE";-13,46;13,89;"55";55
"ZONE SUD-EST";"Sud-Est";"KOUSSAN";-12,45;14,13;"47";47
"ZONE SUD-EST";"Sud-Est";"KOUSSANAR";-14,09;13,87;"32";32
"ZONE SUD-EST";"Sud-Est";"DAKATELY";-12,61;12,49;"30.899999999999999";30,9
"ZONE SUD-EST";"Sud-Est";"SALEMATA";-12,62;12,8;"29";29
"ZONE SUD-EST";"Sud-Est";"KOUMPENTOUM";-14,55;13,99;"29";29
"ZONE SUD-EST";"Sud-Est";"BALLOU";-12,23;14,73;"27.199999999999999";27,2
"ZONE SUD-EST";"Sud-Est";"DIAWARA";-12,53;15,02;"25";25
"ZONE SUD-EST";"Sud-Est";"MOUDERY";-12,58;15,05;"25";25
"ZONE SUD-EST";"Sud-Est";"BALA";-13,17;14,02;"24";24
"ZONE SUD-EST";"Sud-Est";"BANDAFASSY";-12,3;12,53;"22.5";22,5
"ZONE SUD-EST";"Sud-Est";"SINTHIOU-FISSA";-12,37;14,38;"22.300000000000001";22,3
"ZONE SUD-EST";"Sud-Est";"GOUDIRY";-12,71;14,18;"18.399999999999999";18,4
"ZONE SUD-EST";"Sud-Est";"TAMBACOUNDA-VILLE";-13,67;13,77;"17";17
"ZONE SUD-EST";"Sud-Est";"DIALAKOTO";-13,3;13,32;"15";15
"ZONE SUD-EST";"Sud-Est";"SINTHIOU-MALEM";-13,94;13,77;"15";15
"ZONE SUD-EST";"Sud-Est";"KEDOUGOU Station";-12,2;12,57;"14.4";14,4
"ZONE SUD-EST";"Sud-Est";"GABOU";-12,4;14,72;"13.699999999999999";13,7
"ZONE SUD-EST";"Sud-Est";"BELE";-12,28;14,4;"12.800000000000001";12,8
"ZONE SUD-EST";"Sud-Est";"SARAYA";-11,79;12,79;"12";12
"ZONE SUD-EST";"Sud-Est";"KIDIRA";-12,22;14,45;"10";10
"ZONE SUD-EST";"Sud-Est";"MISSIRAH";-13,52;13,55;"9";9
"ZONE SUD-EST";"Sud-Est";"GAMBIE-DIAOUBE";-12,27;14,29;"8.1999999999999993";8,2
"ZONE SUD-EST";"Sud-Est";"BAKEL";-12,25;14,54;"7.7000000000000002";7,7
"ZONE SUD-EST";"Sud-Est";"KOULOR";-13,41;13,98;"7.2999999999999998";7,3
"ZONE SUD-EST";"Sud-Est";"GOUMBAYEL";-13,18;13,69;"5";5
"ZONE SUD-EST";"Sud-Est";"TAMBACOUNDA-AERO";-13,68;13,77;"4.5999999999999996";4,6
"ZONE SUD-EST";"Sud-Est";"BOUTOUCOU-FARA";-12,49;13,4;"3";3
"ZONE SUD-EST";"Sud-Est";"MAKO";-12,35;12,84;"2.7000000000000002";2,7
"ZONE SUD-EST";"Sud-Est";"KHOSSANTO";-11,97;13,13;"0.80000000000000004";0,8
"ZONE SUD-EST";"Sud-Est";"BAGNOMBA";-12,39;12,72;"0";0
"ZONE SUD-EST";"Sud-Est";"BANI-ISRAEL";-12,88;13,83;"0";0
"ZONE SUD-EST";"Sud-Est";"DIANKE-MAKHA";-12,66;13,68;"0";0
"ZONE SUD-EST";"Sud-Est";"DINDIFELO";-12,33;12,37;"0";0
"ZONE SUD-EST";"Sud-Est";"DOUGUEY";-12,81;13,99;"0";0
"ZONE SUD-EST";"Sud-Est";"FONGOLIMBY";-12,02;12,42;"0";0
"ZONE SUD-EST";"Sud-Est";"KENIABA";-12,08;14,03;"0";0
"ZONE SUD-EST";"Sud-Est";"KOMOTY";-12,92;13,66;"0";0
"ZONE SUD-EST";"Sud-Est";"MAKA-COULIBANTANG";-14,3;13,67;"0";0
"ZONE SUD-EST";"Sud-Est";"MISSIRAH-SIRIMANA";-11,7;13,09;"0";0
